highway_flow.359 | Accel=-5.529520161357561 | Severity=5.529520161357561 | Time=2188.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.360 | Accel=-4.5438732419170655 | Severity=4.5438732419170655 | Time=2189.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.361 | Accel=-5.535425724229703 | Severity=5.535425724229703 | Time=2193.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.362 | Accel=-6.166957548274695 | Severity=6.166957548274695 | Time=2197.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.362 | Accel=-9.0 | Severity=9.0 | Time=2199.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.363 | Accel=-9.0 | Severity=9.0 | Time=2203.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.363 | Accel=-9.0 | Severity=9.0 | Time=2204.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.379 | Accel=-9.0 | Severity=9.0 | Time=2298.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.379 | Accel=-5.743904581235013 | Severity=5.743904581235013 | Time=2299.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.379 | Accel=-4.500000000000007 | Severity=4.500000000000007 | Time=2300.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.379 | Accel=-4.500000000000014 | Severity=4.500000000000014 | Time=2301.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.382 | Accel=-4.726492611501065 | Severity=4.726492611501065 | Time=2315.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.388 | Accel=-9.0 | Severity=9.0 | Time=2354.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.388 | Accel=-5.6341965448772635 | Severity=5.6341965448772635 | Time=2355.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.403 | Accel=-7.180857601259024 | Severity=7.180857601259024 | Time=2443.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.404 | Accel=-9.0 | Severity=9.0 | Time=2450.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.404 | Accel=-8.026846552197837 | Severity=8.026846552197837 | Time=2451.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.405 | Accel=-9.0 | Severity=9.0 | Time=2455.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.417 | Accel=-5.055075014945107 | Severity=5.055075014945107 | Time=2525.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.437 | Accel=-8.63427134084964 | Severity=8.63427134084964 | Time=2646.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.439 | Accel=-9.0 | Severity=9.0 | Time=2659.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.439 | Accel=-9.0 | Severity=9.0 | Time=2660.0 | Lane=:merge_point_1_1 | Reason=Emergency braking
highway_flow.444 | Accel=-8.174748973501657 | Severity=8.174748973501657 | Time=2688.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.444 | Accel=-9.0 | Severity=9.0 | Time=2690.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.451 | Accel=-6.435846862277555 | Severity=6.435846862277555 | Time=2738.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.454 | Accel=-8.186070763499815 | Severity=8.186070763499815 | Time=2752.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.153 | Accel=-6.25416444381699 | Severity=6.25416444381699 | Time=2762.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.456 | Accel=-9.0 | Severity=9.0 | Time=2763.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.456 | Accel=-9.0 | Severity=9.0 | Time=2764.0 | Lane=:merge_point_1_1 | Reason=Emergency braking
highway_flow.457 | Accel=-6.802697854334175 | Severity=6.802697854334175 | Time=2768.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.461 | Accel=-9.0 | Severity=9.0 | Time=2791.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.461 | Accel=-5.437706274697447 | Severity=5.437706274697447 | Time=2792.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.472 | Accel=-9.0 | Severity=9.0 | Time=2856.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.472 | Accel=-7.03193904141245 | Severity=7.03193904141245 | Time=2857.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.497 | Accel=-9.0 | Severity=9.0 | Time=3007.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.497 | Accel=-9.0 | Severity=9.0 | Time=3008.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.499 | Accel=-9.0 | Severity=9.0 | Time=3018.0 | Lane=highway_0 | Reason=Emergency braking
